CBSA,MSA,Employment,GDP,Population,Unemployment,Total
17860,"columbia, mo",4.831141413,15.64426311,2.978451858,2.4,542.5
17900,"columbia, sc",5.794510528,15.96394019,3.620775741,2.7,518.0
17980,"columbus, ga-al",2.127729617,12.28624276,-0.534123158,4.0,1092.5
18020,"columbus, in",3.589504529,10.68167701,2.849321123,2.5,704.0
18140,"columbus, oh",7.884912251,15.16147493,4.670768132,3.6,575.0
18580,"corpus christi, tx",2.555017234,14.86237204,0.32809427,4.3,1013.5
18700,"corvallis, or",5.492871165,21.47121956,5.34341639,2.9,423.0
18880,"crestview-fort walton beach-destin, fl",12.83305145,25.90621872,9.200042942,2.7,131.0
19060,"cumberland, md-wv",-1.592192056,10.51847451,-2.598143754,5.3,1362.5
19100,"dallas-fort worth-arlington, tx",12.78797451,20.19110525,7.533759712,3.3,312.5
19140,"dalton, ga",-1.787021225,8.404629593,1.135577467,4.6,1224.0
19180,"danville, il",-5.906804342,7.087218217,-4.309713275,5.1,1438.5
19300,"daphne-fairhope-foley, al",15.02930223,23.44218944,10.00054203,2.7,138.0
19340,"davenport-moline-rock island, ia-il",0.821618706,8.144811437,-1.097863483,4.2,1247.0
19430,"dayton-kettering, oh",4.798237087,16.71770689,0.935729962,4.0,846.5
19460,"decatur, al",6.924236197,18.61373505,0.138458712,2.7,576.0
19500,"decatur, il",-2.872286403,-9.020466819,-3.105931453,5.3,1467.5
19660,"deltona-daytona beach-ormond beach, fl",11.70608592,23.63661237,7.598451944,3.5,320.5
19740,"denver-aurora-lakewood, co",11.78269293,23.80797894,5.486978545,2.7,232.0
19780,"des moines-west des moines, ia",7.062162892,12.65384905,6.030124848,2.7,490.0
19820,"detroit-warren-dearborn, mi",6.042811086,12.95199223,0.231015207,4.3,949.5
20020,"dothan, al",4.393997691,17.57545456,0.923022866,3.0,682.5
20100,"dover, de",8.316381882,15.77243133,4.423316852,4.2,649.0
20220,"dubuque, ia",0.701802108,6.322973818,0.475993805,2.6,954.0
20260,"duluth, mn-wi",1.153391633,27.68598838,-0.348242051,4.1,896.5
20500,"durham-chapel hill, nc",12.13858944,15.41637328,6.032686858,3.4,448.5
20700,"east stroudsburg, pa",6.193481662,17.09025998,2.276536061,5.4,840.0
20740,"eau claire, wi",4.01935038,12.25860763,2.297871312,3.3,798.5
20940,"el centro, ca",0.823434125,9.025099992,1.273073763,18.3,1237.0
21060,"elizabethtown-fort knox, ky",2.557103864,9.83429048,3.930266632,4.2,970.0
21140,"elkhart-goshen, in",6.908891994,22.05463771,1.648316461,3.1,522.5
21300,"elmira, ny",-3.20791552,7.938930979,-3.747188743,4.2,1358.0
21340,"el paso, tx",8.630517892,16.26622923,1.039573206,3.8,724.0
21420,"enid, ok",-6.064409247,-16.52529316,-3.465722236,3.0,1228.5
21500,"erie, pa",-1.393367398,3.319785689,-3.036229123,4.6,1406.0
21660,"eugene-springfield, or",7.544505221,21.54512395,5.559116553,4.1,539.5
21780,"evansville, in-ky",2.621352622,23.10649934,0.032700177,3.1,725.5
21820,"fairbanks, ak",0.624666586,8.217336312,-2.797181742,5.4,1367.0
22020,"fargo, nd-mn",5.323285503,11.1785725,5.691074365,2.3,546.0
22140,"farmington, nm",-6.791213177,-7.111900836,-3.343574069,5.7,1501.5
22180,"fayetteville, nc",5.802227272,9.696032274,2.87962717,5.1,970.5
22220,"fayetteville-springdale-rogers, ar",12.24784404,18.64271073,8.780021557,2.6,209.0
22380,"flagstaff, az",4.454591213,12.19333585,3.248370058,5.5,962.0
22420,"flint, mi",1.608192599,7.747966146,-1.132385294,4.9,1291.0
22500,"florence, sc",6.475093017,15.91681396,-0.641986084,3.1,741.5
22520,"florence-muscle shoals, al",2.926069832,6.1145438,0.744845993,3.4,1021.5
22540,"fond du lac, wi",3.655874561,10.57994628,1.420234417,2.9,817.0
22660,"fort collins, co",12.92940359,28.90020994,7.079444229,2.4,109.5
22900,"fort smith, ar-ok",1.621264752,10.18166995,0.622136484,3.6,1036.0
23060,"fort wayne, in",6.287357551,17.87512634,3.107987405,3.1,546.5
23420,"fresno, ca",9.92151795,22.16675421,3.05449887,7.2,673.5
23460,"gadsden, al",1.095697628,10.45749155,-0.708751626,3.3,1066.5
23540,"gainesville, fl",9.776299945,20.26951259,4.144213701,3.0,368.5
23580,"gainesville, ga",12.97650131,27.19631566,6.34398814,2.8,178.0
23900,"gettysburg, pa",3.99983194,13.0338125,1.179671539,3.3,829.5
24020,"glens falls, ny",0.0515701,16.76136832,-1.19842736,4.3,1111.5
24140,"goldsboro, nc",1.758670398,8.281172648,-0.97392675,4.1,1207.5
24220,"grand forks, nd-mn",-0.771861395,12.18003653,-1.015228426,2.7,978.0
24260,"grand island, ne",1.337557198,8.707187852,0.31067858,3.4,1045.5
24300,"grand junction, co",6.489873301,20.31500386,4.178348252,3.4,504.5
24340,"grand rapids-kentwood, mi",8.817764058,15.73912099,3.113197976,2.9,487.0
24420,"grants pass, or",10.45343104,30.22990704,3.500615181,5.0,536.5
24500,"great falls, mt",1.77907647,13.4711995,-0.625320599,3.4,988.5
24540,"greeley, co",11.89649543,33.95992264,13.53059104,2.5,76.0
24580,"green bay, wi",3.954633218,11.62176461,2.29810044,3.2,802.5
24660,"greensboro-high point, nc",4.338844305,8.051851489,2.737443181,4.1,968.5
24780,"greenville, nc",5.577559767,7.066992573,2.652907066,4.2,953.0
24860,"greenville-anderson, sc",9.271289533,21.12411873,5.496257397,2.6,280.0
25060,"gulfport-biloxi, ms",3.946669401,11.94607776,2.720337232,5.5,1011.0
25180,"hagerstown-martinsburg, md-wv",3.426830164,16.50266812,3.54662948,3.7,743.5
25220,"hammond, la",8.538712119,22.39341726,4.694055129,5.5,616.0
25260,"hanford-corcoran, ca",7.485262306,18.6099144,1.902255389,7.9,810.0
25420,"harrisburg-carlisle, pa",5.258901851,11.2600605,2.348772221,3.7,844.5
25500,"harrisonburg, va",7.821405953,3.067090511,2.93166565,2.7,674.0
25540,"hartford-east hartford-middletown, ct",2.133662667,8.444871442,-0.567032089,3.8,1137.0
25620,"hattiesburg, ms",4.250751395,7.366144599,0.581391886,4.8,1134.5
25860,"hickory-lenoir-morganton, nc",5.409836066,13.82290951,1.751773791,3.7,797.5
25940,"hilton head island-bluffton, sc",13.19518948,18.94552735,7.207993978,2.6,216.0
25980,"hinesville, ga",3.898762221,5.608884886,2.176134428,3.7,976.5
26140,"homosassa springs, fl",7.448676673,24.80287855,6.679164855,4.8,545.5
26300,"hot springs, ar",4.231219643,12.99944803,1.607131903,3.7,860.5
26380,"houma-thibodaux, la",-6.537228787,-4.226536507,-1.912026059,4.6,1417.0
26420,"houston-the woodlands-sugar land, tx",8.668860454,11.66657852,5.910436871,3.8,654.0
26580,"huntington-ashland, wv-ky-oh",0.205021884,10.02866825,-3.091028909,5.0,1340.5
26620,"huntsville, al",10.51084435,19.36511965,6.137102906,2.6,263.0
26820,"idaho falls, id",13.83682341,30.64520003,8.590961861,2.4,68.5
26900,"indianapolis-carmel-anderson, in",8.945256981,17.30970229,4.451797702,3.0,420.5
26980,"iowa city, ia",4.035817784,13.19585193,3.601096428,2.1,584.5
27060,"ithaca, ny",-0.427607978,11.22987588,-0.801895035,3.6,1128.0
27100,"jackson, mi",1.369972868,17.15232988,-0.473427768,3.8,984.0
27140,"jackson, ms",2.196809157,6.673160408,-0.522136445,4.8,1253.5
27180,"jackson, tn",5.18858838,15.77648334,0.020715873,3.5,816.5
27260,"jacksonville, fl",14.64058674,23.80550054,7.951888293,3.1,213.5
27340,"jacksonville, nc",3.891593903,12.12900523,2.498006359,4.6,975.0
27500,"janesville-beloit, wi",5.241112791,19.04624168,1.458330745,3.7,714.5
27620,"jefferson city, mo",4.279695693,7.007918739,0.203408248,2.7,872.0
27740,"johnson city, tn",4.039387901,12.85258893,1.656258892,3.7,868.5
27780,"johnstown, pa",-4.538947612,8.345601662,-4.290293175,5.3,1425.5
27860,"jonesboro, ar",10.14108617,17.94463756,4.20445434,2.9,381.0
27900,"joplin, mo",3.256784147,9.404828794,1.628878349,3.1,873.5
27980,"kahului-wailuku-lahaina, hi",8.65897235,25.46272609,2.143327802,2.6,343.0
28020,"kalamazoo-portage, mi",6.160548018,21.09843619,2.075663519,3.6,617.0
28100,"kankakee, il",2.655535965,30.84743191,-1.689485459,5.0,960.5
28140,"kansas city, mo-ks",6.15426211,13.67520909,3.455417364,3.3,655.5
28420,"kennewick-richland, wa",10.34176439,23.94259297,7.408987435,5.6,527.0
28660,"killeen-temple, tx",5.480378288,11.19966127,6.408018808,3.8,745.0
28700,"kingsport-bristol, tn-va",1.323227297,13.60910235,0.301359218,3.7,1000.5
28740,"kingston, ny",3.617142793,17.34437916,-1.160538356,3.8,945.0
28940,"knoxville, tn",6.971785812,17.01035512,3.727301156,3.2,533.5
29020,"kokomo, in",-0.482553823,0.869010821,0.250188248,4.0,1235.5
29100,"la crosse-onalaska, wi-mn",2.393098196,7.36137254,0.169373465,2.9,960.0
29180,"lafayette, la",-1.083030047,0.150888806,-0.061286151,4.8,1335.5
29200,"lafayette-west lafayette, in",7.237798293,21.48598228,4.217414446,2.9,388.0
29340,"lake charles, la",11.0578264,48.13094322,2.501035197,4.1,487.5
29420,"lake havasu city-kingman, az",9.80647284,17.77229342,3.718458846,5.7,699.5
29460,"lakeland-winter haven, fl",14.89267836,25.86199911,11.75810264,3.7,263.5
29540,"lancaster, pa",7.104826986,15.11757324,1.850092663,3.4,669.5
29620,"lansing-east lansing, mi",3.183650677,15.87846256,1.684923079,3.4,785.5
29700,"laredo, tx",6.522160555,7.419266236,2.514961184,3.7,856.5
29740,"las cruces, nm",3.770828121,12.92127208,1.94408365,5.7,1032.5
29820,"las vegas-henderson-paradise, nv",14.95573657,24.42026989,8.107818079,4.0,343.5
29940,"lawrence, ks",6.866294671,14.37503311,3.485665434,2.9,542.0
30020,"lawton, ok",0.514612084,2.900475047,-2.765919807,3.6,1243.0
30140,"lebanon, pa",4.552923252,13.29737716,3.137933794,3.9,817.5
30300,"lewiston, id-wa",2.878023908,19.59503103,1.420106911,3.3,725.5
30340,"lewiston-auburn, me",3.535893696,12.38922545,1.076322766,3.0,816.5
30460,"lexington-fayette, ky",4.606908194,12.07658685,3.108267909,3.4,763.5
30620,"lima, oh",0.308311835,12.65622923,-1.67539267,4.0,1172.5
30700,"lincoln, ne",5.089260514,18.87042212,4.111547866,2.8,478.0
30780,"little rock-north little rock-conway, ar",4.150065513,10.93513864,1.572742236,3.2,834.5
30860,"logan, ut-id",10.49557189,26.9603148,7.171395833,2.2,147.0
30980,"longview, tx",0.280989082,9.962377924,1.018441186,3.7,1076.5
31020,"longview, wa",6.294412062,23.79606407,7.372887115,6.0,631.5
31080,"los angeles-long beach-anaheim, ca",7.431521415,18.48169362,-0.150339683,4.0,787.5
31140,"louisville/jefferson county, ky-in",6.305242082,12.54708202,1.514727205,3.8,834.0
31180,"lubbock, tx",8.507486461,16.67871712,3.953535634,2.8,428.0
31340,"lynchburg, va",3.951635594,11.95421822,1.587607488,3.2,820.5
31420,"macon-bibb county, ga",3.762415898,11.84536422,0.087469266,3.7,982.5
31460,"madera, ca",10.16301165,25.08412943,2.442438923,6.9,660.0
31540,"madison, wi",6.846898832,19.44043294,3.85302672,2.5,383.0
31700,"manchester-nashua, nh",5.903317879,15.39274701,1.965842268,2.4,551.5
31740,"manhattan, ks",2.322583538,-0.389248126,-4.893823592,2.8,1098.0
31860,"mankato, mn",4.20734144,10.56857305,2.750027722,2.7,714.0
31900,"mansfield, oh",0.012289353,10.40889867,-0.438827165,4.5,1233.5
32580,"mcallen-edinburg-mission, tx",9.576661379,14.21568502,3.458513911,6.2,783.5
32780,"medford, or",8.256935198,24.92626959,4.513180986,4.4,536.5
32820,"memphis, tn-ms-ar",5.851114662,12.92713299,0.8432038,4.2,922.0
32900,"merced, ca",7.267619152,17.62586662,4.252627153,8.1,747.0
33100,"miami-fort lauderdale-pompano beach, fl",11.96634337,23.26566526,3.306224436,2.8,309.0
33140,"michigan city-la porte, in",0.461521144,8.238745064,-0.854423242,4.3,1258.5
33220,"midland, mi",0.567028644,1.435621009,-0.604814611,3.7,1205.5
33260,"midland, tx",14.08467493,88.78375635,8.70908593,2.1,43.5
33340,"milwaukee-waukesha, wi",3.244022229,12.80694569,-0.083539698,3.5,946.5
33460,"minneapolis-st. paul-bloomington, mn-wi",5.826950357,15.49674444,3.890570273,3.0,559.5
33540,"missoula, mt",9.253321689,20.98487311,4.800126181,3.2,385.5
33660,"mobile, al",2.682912591,12.47321198,-0.407610586,3.7,1014.5
33700,"modesto, ca",8.39114329,21.40519878,3.272438115,6.0,696.5
33740,"monroe, la",-0.59083942,5.179874612,-2.628994301,5.4,1424.0
33780,"monroe, mi",-0.409086202,7.597382186,0.767979217,3.9,1168.5
33860,"montgomery, al",2.964502273,10.55873461,-0.020087582,3.0,923.5
34060,"morgantown, wv",3.906055394,8.572441952,0.376110826,3.9,1052.5
34100,"morristown, tn",7.402846409,11.7313543,2.540729247,3.8,781.0
34580,"mount vernon-anacortes, wa",8.227060886,11.7156852,6.289949736,5.4,781.0
34620,"muncie, in",0.822258021,11.37431879,-1.409728161,3.9,1171.5
34740,"muskegon, mi",0.566825776,6.814860862,0.648895023,4.3,1206.5
34820,"myrtle beach-conway-north myrtle beach, sc-nc",13.47470639,25.36904008,15.23731557,4.0,318.5
34900,"napa, ca",5.897241941,14.22779231,-2.213513936,2.8,784.0
34940,"naples-marco island, fl",13.46496797,24.57631586,8.106088905,3.1,210.5
34980,"nashville-davidson--murfreesboro--franklin, tn",15.74828916,20.76858694,7.183913301,2.6,177.0
35100,"new bern, nc",1.45518735,4.913014037,-0.867026665,4.0,1239.5
35300,"new haven-milford, ct",2.867960832,13.88326852,-0.631142567,3.6,975.0
35380,"new orleans-metairie, la",3.966444098,17.76005558,0.813231335,4.5,915.5
35620,"new york-newark-jersey city, ny-nj-pa",7.633947941,18.06409545,-0.542343427,3.7,755.5
35660,"niles, mi",0.097069926,13.99573824,-1.045658036,4.0,1120.5
35840,"north port-sarasota-bradenton, fl",12.26890838,25.09371507,9.081869234,3.1,206.5
35980,"norwich-new london, ct",1.504352788,12.37786744,-1.642955688,3.6,1081.0
36100,"ocala, fl",12.13862655,23.65551364,6.837589353,3.8,380.0
36140,"ocean city, nj",4.574318163,13.82220555,-2.252548853,7.2,1157.5
36220,"odessa, tx",10.55394306,21.51132565,3.95239614,2.6,284.0
36260,"ogden-clearfield, ut",12.953442,28.37844013,6.798014786,2.6,134.0
36420,"oklahoma city, ok",4.622240671,10.73607541,3.814680167,3.0,696.5
36500,"olympia-lacey-tumwater, wa",12.19792291,30.2671901,8.417855197,4.8,401.5
36540,"omaha-council bluffs, ne-ia",5.279933234,15.22473597,3.98314264,3.1,591.5
36740,"orlando-kissimmee-sanford, fl",18.05745763,24.9356356,9.195611153,3.0,157.5
36780,"oshkosh-neenah, wi",2.589363095,14.00880673,1.572267587,3.0,775.5
36980,"owensboro, ky",1.507155635,8.751975089,1.632899652,3.9,1058.5
37100,"oxnard-thousand oaks-ventura, ca",4.631353303,10.67052488,0.02411912,3.6,952.0
37340,"palm bay-melbourne-titusville, fl",15.0332643,26.36047058,6.397924157,3.2,228.5
37460,"panama city, fl",0.507450205,14.55658026,-3.737437186,3.9,1139.5
37620,"parkersburg-vienna, wv",-5.186434552,5.484744385,-3.038886899,5.3,1450.5
37860,"pensacola-ferry pass-brent, fl",12.25511611,20.88389746,5.697138183,3.1,308.5
37900,"peoria, il",-2.895619104,-1.643095792,-2.978035925,4.7,1433.5
37980,"philadelphia-camden-wilmington, pa-nj-de-md",7.450256073,11.93395599,0.753168001,4.1,893.5
38060,"phoenix-mesa-chandler, az",14.11519316,24.67475145,8.074313987,4.1,360.5
38220,"pine bluff, ar",-3.282764914,1.163371691,-6.613345813,5.2,1473.0
38300,"pittsburgh, pa",3.809532295,16.19158474,-1.284502612,4.3,1030.5
38340,"pittsfield, ma",0.085795112,9.441068778,-2.279090866,3.7,1210.5
38540,"pocatello, id",6.199178969,18.5376351,3.93813064,2.8,457.0
38860,"portland-south portland, me",7.9710465,19.31944609,2.409329233,2.4,404.5
38900,"portland-vancouver-hillsboro, or-wa",10.86051494,26.58995997,4.65020196,3.5,350.5
38940,"port st. lucie, fl",15.19274936,19.62698438,8.050507794,3.7,348.5
39100,"poughkeepsie-newburgh-middletown, ny",5.175687122,19.0371206,1.390775735,3.5,688.5
39150,"prescott valley-prescott, az",9.356755959,24.0078232,6.47358529,4.4,487.5
39300,"providence-warwick, ri-ma",4.964619193,11.40442959,0.722288906,3.6,902.0
39340,"provo-orem, ut",20.69710386,37.64625443,11.1508904,2.4,26.5
39380,"pueblo, co",6.365821509,19.98115072,3.323804032,4.1,653.5
39460,"punta gorda, fl",11.13198961,27.83498028,9.588008029,3.7,298.5
39540,"racine, wi",1.750299062,8.906278428,0.841928988,4.1,1118.5
39580,"raleigh-cary, nc",13.98967195,29.84037184,9.416635001,3.4,210.5
39660,"rapid city, sd",5.478749498,13.83683158,5.375283632,3.5,648.5
39740,"reading, pa",4.551536486,10.96165705,1.451565504,4.3,987.5
39820,"redding, ca",4.388463593,27.34848192,0.990387743,4.7,793.5
39900,"reno, nv",16.2453202,22.84416637,6.567576832,3.2,256.5
40060,"richmond, va",7.745764793,16.32884026,3.628480787,2.9,479.0
40140,"riverside-san bernardino-ontario, ca",12.42969609,23.415619,4.245558453,4.0,452.5
40220,"roanoke, va",2.035748994,8.383512367,0.022353362,2.8,953.0
40340,"rochester, mn",4.884614344,18.15285426,3.733879299,2.8,509.0
40380,"rochester, ny",2.99255741,12.70921391,-0.691491535,4.1,1083.5
40420,"rockford, il",-0.246951772,11.71844656,-1.353282833,5.7,1314.5
40580,"rocky mount, nc",1.17978969,-14.66883057,-1.192307953,5.2,1365.0
40660,"rome, ga",5.079216238,10.23454276,2.403676211,3.8,891.0
40900,"sacramento-roseville-folsom, ca",10.41041479,22.54738181,4.445586427,3.6,416.0
40980,"saginaw, mi",0.393956248,10.05060028,-1.430899356,4.8,1297.5
41060,"st. cloud, mn",2.805383402,13.96419256,3.346040681,3.3,752.5
41100,"st. george, ut",21.75437776,40.86051936,14.81150986,3.0,96.5
41140,"st. joseph, mo-ks",0.154051415,15.24872075,-1.184463874,3.0,942.5
41180,"st. louis, mo-il",4.596379704,11.81810344,-0.152270541,3.3,898.5
41420,"salem, or",10.70236665,28.93433207,6.343040326,4.0,390.5
41500,"salinas, ca",7.108576198,14.45717936,0.815000279,6.2,943.5
41540,"salisbury, md-de",8.153616102,10.15808661,5.641304514,4.6,790.0
41620,"salt lake city, ut",12.46335985,28.33864389,5.818808631,2.5,145.0
41660,"san angelo, tx",0.470436431,10.07966172,1.359747487,3.0,937.5
41700,"san antonio-new braunfels, tx",12.02357155,16.28857686,7.217791287,3.1,364.5
41740,"san diego-chula vista-carlsbad, ca",8.589890618,18.50378213,1.751985004,3.2,539.5
41860,"san francisco-oakland-berkeley, ca",9.307230827,30.6780916,1.804655154,2.6,315.0
41940,"san jose-sunnyvale-santa clara, ca",9.73980092,31.01695817,0.818383987,2.6,357.0
42020,"san luis obispo-paso robles, ca",5.373906267,16.28460446,1.083273528,2.9,659.0
42100,"santa cruz-watsonville, ca",4.10085391,19.16454373,-0.106031744,4.7,935.5
42140,"santa fe, nm",2.040902784,11.28008177,1.526016557,3.9,1012.5
42200,"santa maria-santa barbara, ca",6.345502089,17.08808727,0.965563091,3.7,747.5
42220,"santa rosa-petaluma, ca",5.534138928,20.52233791,-1.303150762,2.7,655.0
42340,"savannah, ga",10.47313186,18.97418833,4.109288113,3.2,409.5
42540,"scranton--wilkes-barre, pa",2.110697981,14.48209386,-0.690113925,5.4,1149.0
42660,"seattle-tacoma-bellevue, wa",11.62204496,31.30071647,6.422813447,3.3,256.5
42680,"sebastian-vero beach, fl",11.4017271,26.61198963,8.470909017,3.8,333.0
42700,"sebring-avon park, fl",6.262553433,19.6405256,6.075676323,4.5,627.5
43100,"sheboygan, wi",3.104828826,13.74786284,0.12500434,2.7,795.0
43300,"sherman-denison, tx",8.745874587,17.49155956,8.424873436,3.1,366.5
43340,"shreveport-bossier city, la",-1.408189659,16.60473358,-2.30049505,5.1,1216.5
43420,"sierra vista-douglas, az",0.615877674,13.8688569,-0.420706344,5.7,1196.5
43580,"sioux city, ia-ne-sd",-1.185345931,11.26114754,0.671369733,2.9,964.0
43620,"sioux falls, sd",8.150679995,23.03215262,7.287650193,2.8,281.0
43780,"south bend-mishawaka, in-mi",5.540748155,14.77149047,1.223010106,3.7,800.5
43900,"spartanburg, sc",16.07613965,29.49976667,7.832194714,2.6,89.0
44060,"spokane-spokane valley, wa",9.581892507,30.04184103,6.832117227,5.4,496.0
44100,"springfield, il",-0.850473769,14.28456991,-2.076173706,4.0,1158.5
44140,"springfield, ma",4.3359375,13.17231682,-0.471821981,3.6,927.0
44180,"springfield, mo",6.377350707,13.78861788,3.22810052,2.9,586.0
44220,"springfield, oh",-0.510098022,10.14816671,-1.225082139,4.3,1268.5
44300,"state college, pa",0.53811426,13.77397497,1.195891965,3.3,911.5
44420,"staunton, va",5.14311549,9.97581492,2.583757572,2.6,689.0
44700,"stockton, ca",12.12391777,21.7665813,5.521057885,5.9,569.0
44940,"sumter, sc",2.310096481,18.84485747,-0.505737357,3.4,856.5
45060,"syracuse, ny",2.326895311,13.1820896,-1.376876384,4.3,1132.5
